time_diff,distance,hour,weekday,source_destination
13.0,0.5797475770509168,13,True,"1.385597284,103.758344;1.38685783,103.7634046"
3.0,0.6142130576635839,13,True,"1.38685783,103.7634046;1.385078053,103.7581739"
1.0,0.6628676006768155,13,True,"1.385078053,103.7581739;1.38721724,103.7637398"
3.0,0.6628676006768155,13,True,"1.38721724,103.7637398;1.385078053,103.7581739"
7.0,0.6226691302400316,13,True,"1.38721724,103.7637398;1.38516878,103.7585266"
1.0,0.6226691302400316,13,True,"1.38516878,103.7585266;1.38721724,103.7637398"
2.0,0.6226691302400316,13,True,"1.38721724,103.7637398;1.38516878,103.7585266"
2.0,0.6809149838214328,13,True,"1.38516878,103.7585266;1.387615544,103.7641418"
1.0,0.6809149838214328,13,True,"1.387615544,103.7641418;1.38516878,103.7585266"
1.0,0.6809149838214328,13,True,"1.38516878,103.7585266;1.387615544,103.7641418"
2.0,0.6809149838214328,13,True,"1.387615544,103.7641418;1.38516878,103.7585266"
9.0,0.09854156403664888,14,True,"1.38516878,103.7585266;1.384621208,103.7592236"
6.0,0.04229828234824451,14,True,"1.384621208,103.7592236;1.384608611,103.7596039"
32.0,0.8047918122519335,14,True,"1.387138086,103.7643015;1.386206,103.757122"
8.0,0.7372508531954739,15,True,"1.386206,103.757122;1.381289134,103.7615713"
36.0,0.4556016545912383,18,True,"1.387138086,103.7643015;1.386478068,103.7602565"
26.0,0.1655253174853607,9,True,"1.386478068,103.7602565;1.387284982,103.7590052"
2.0,0.1655253174853607,9,True,"1.387284982,103.7590052;1.386478068,103.7602565"
1.0,0.1655253174853607,9,True,"1.386478068,103.7602565;1.387284982,103.7590052"
1.0,0.1655253174853607,9,True,"1.387284982,103.7590052;1.386478068,103.7602565"
2.0,0.1655253174853607,9,True,"1.386478068,103.7602565;1.387284982,103.7590052"
2.0,0.10706573359837357,9,True,"1.387284982,103.7590052;1.3866855,103.7597589"
2.0,0.10706573359837357,9,True,"1.387284982,103.7590052;1.3866855,103.7597589"
2.0,0.10706573359837357,9,True,"1.3866855,103.7597589;1.387284982,103.7590052"
1.0,0.10706573359837357,9,True,"1.3866855,103.7597589;1.387284982,103.7590052"
1.0,0.10706573359837357,9,True,"1.387284982,103.7590052;1.3866855,103.7597589"
1.0,0.10706573359837357,9,True,"1.387284982,103.7590052;1.3866855,103.7597589"
7.0,0.06126975329876569,10,True,"1.3866855,103.7597589;1.386413962,103.7592793"
1.0,0.1500808597959014,10,True,"1.386413962,103.7592793;1.387474968,103.7584448"
5.0,0.1500808597959014,10,True,"1.386413962,103.7592793;1.387474968,103.7584448"
1.0,0.24650974084377347,10,True,"1.387474968,103.7584448;1.385464744,103.7593798"
1.0,0.24650974084377347,10,True,"1.385464744,103.7593798;1.387474968,103.7584448"
1.0,0.24650974084377347,10,True,"1.387474968,103.7584448;1.385464744,103.7593798"
2.0,0.24650974084377347,10,True,"1.387474968,103.7584448;1.385464744,103.7593798"
1.0,0.24650974084377347,10,True,"1.387474968,103.7584448;1.385464744,103.7593798"
2.0,0.24650974084377347,10,True,"1.385464744,103.7593798;1.387474968,103.7584448"
1.0,0.24650974084377347,10,True,"1.387474968,103.7584448;1.385464744,103.7593798"
3.0,0.24650974084377347,10,True,"1.385464744,103.7593798;1.387474968,103.7584448"
1.0,0.27374510220495735,10,True,"1.3854748,103.7598805;1.387474968,103.7584448"
3.0,0.30039519584258884,10,True,"1.387474968,103.7584448;1.385571506,103.7603624"
1.0,0.2639532496913717,11,True,"1.385571506,103.7603624;1.386954312,103.7584324"
2.0,0.19627886753160714,11,True,"1.386954312,103.7584324;1.385464744,103.7593798"
1.0,0.19627886753160714,11,True,"1.385464744,103.7593798;1.386954312,103.7584324"
4.0,0.13819104769107687,11,True,"1.386954312,103.7584324;1.385872054,103.7578213"
2.0,0.13819104769107687,11,True,"1.385872054,103.7578213;1.386954312,103.7584324"
